Item,Date,Quantity,Supplied,Price,Amount,Invoice
Woolworths arborio risotto rice pdm 1kg,2026-04-23,1,1,4.0,4.0,Woolworths_Invoice.pdf
Woolworths baby leaf spinach 120g,2026-03-01,1,1,2.7,2.7,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Woolworths baby leaf spinach 120g,2026-03-16,1,1,2.7,2.7,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths baby leaf spinach 120g,2026-04-16,1,1,2.7,2.7,Woolies_interview2.pdf
Woolworths bricks home collectable pdm each,2026-03-01,19,19,0.0,0.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Woolworths broccolini bunch pdm each,2026-03-16,1,1,2.5,2.5,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths carrots peas & corn 1kg,2026-03-16,1,1,5.0,5.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths chili lime salad kit pdm 350g,2026-04-16,1,1,5.0,5.0,Woolies_interview2.pdf
Woolworths gold duck fat potatoes with truffle butter 500g,2025-12-18,1,1,7.0,7.0,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Woolworths gourmet leaf mix pdm 120g,2026-03-01,1,1,2.7,2.7,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Woolworths hamburger buns pdm 6 pack,2026-04-23,1,0,2.75,0.0,Woolworths_Invoice.pdf
Woolworths honey mustard salad kit pdm 285g,2026-04-16,1,1,5.0,5.0,Woolies_interview2.pdf
Woolworths iceberg shredded lettuce pdm 200g,2026-04-16,1,1,2.0,2.0,Woolies_interview2.pdf
Woolworths light thickened cream 300ml,2025-12-18,1,1,3.4,3.4,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Woolworths light thickened cream 300ml,2026-01-09,1,1,3.4,3.4,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
Woolworths light thickened cream 300ml,2026-03-16,1,1,3.4,3.4,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths light thickened cream 300ml,2026-04-16,1,1,3.4,3.4,Woolies_interview2.pdf
Woolworths lower carb potatoes pdm 1.5kg,2026-03-16,1,1,5.5,5.5,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths microwave jasmine rice 250g,2026-01-09,1,1,1.8,1.8,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
Woolworths mushroom sliced pdm 500g,2025-12-18,1,1,7.0,7.0,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Woolworths mushroom sliced pdm 500g,2026-03-16,1,1,5.0,5.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths mushroom sliced pdm 500g,2026-04-16,1,1,7.0,7.0,Woolies_interview2.pdf
Woolworths natural greek style yoghurt 1kg,2025-12-18,1,1,3.8,3.8,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Woolworths pasta macaroni 500g,2026-04-23,1,1,1.0,1.0,Woolworths_Invoice.pdf
Woolworths pork & beef mince 500g,2026-03-16,1,1,7.0,7.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths potato minis 1kg,2026-04-16,1,1,5.0,5.0,Woolies_interview2.pdf
Woolworths spreadable light cream cheese pdm 250g,2026-03-16,1,1,2.6,2.6,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths spring water bottles 600ml x 12 pack,2026-01-09,1,1,5.35,5.35,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
Woolworths sweetened condensed milk pdm 397g,2026-03-16,1,1,2.2,2.2,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Woolworths tasty cheese shredded 250g,2026-04-23,1,1,5.0,5.0,Woolworths_Invoice.pdf
Yopro perform high protein yoghurt mango passionfruit 175g,2026-03-01,1,1,3.0,3.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Yopro perform high protein yoghurt mixed berry 175g,2026-03-01,1,1,3.0,3.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Yopro perform high protein yoghurt strawberry 175g,2026-03-01,1,1,3.0,3.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
onion shallot french pdm each,2025-12-18,1,1,0.65,0.65,283616484-2b9506f81203467cb09672cba4d5e082.pdf
onion shallot french pdm each,2026-04-16,1,1,0.6,0.6,Woolies_interview2.pdf
onion shallot french pdm each,2026-04-23,1,1,0.6,0.6,Woolworths_Invoice.pdf
parmesan crumbed potatoes with garlic butter 500g,2026-01-09,1,1,5.5,5.5,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
